english_word	offset	definition	c_lu_id	spelling	provenance
unsurprising	eng-30-02360351-a	not causing surprise	r_a-16211	verbazingwekkend	bing_std-dict
unshaved	eng-30-02153817-a	not shaved	r_a-13528	ongeschoren	google_opus_std-dict
evolutionary	eng-30-03000725-a	of or relating to or produced by evolution	r_a-10516	evolutionair	opus_std-dict
bacteriological	eng-30-02914740-a	of or relating to bacteriology	r_a-9517	bacteriologisch	google_opus_std-dict
fundamentalistic	eng-30-02953235-a	of or relating to or tending toward fundamentalism	r_a-10761	fundamentalistisch	google_alt-dict
solved	eng-30-02267012-a	"explained or answered; problems resolved and unresolved"""	r_a-10909	gemaakt	automatic-rule-1_opus_std-dict
actuarial	eng-30-02939542-a	of or relating to the work of an actuary	d_a-4641	actuarieel	opus_std-dict
confrontational	eng-30-02701775-a	of or relating to confrontation	r_a-9862	confronterend	google_bing_opus_alt-dict
discernable	eng-30-00581812-a	perceptible by the senses or intellect	r_a-15807	waarneembaar	google_std-dict
spermicidal	eng-30-02800427-a	destructive to spermatozoa	r_a-16528	zaaddodend	google_bing_std-dict
inedible	eng-30-00829496-a	not suitable for food	r_a-13437	oneetbaar	google_opus_std-dict
orienting	eng-30-01684426-a	positioning with respect to a reference system or determining your bearings physically or intellectually	r_a-13931	oriënterend	opus_std-dict
calced	eng-30-02156934-a	used of certain religious orders who wear shoes	r_a-11308	geschoeid	automatic-rule-1_google_bing_std-dict
biographical	eng-30-03048680-a	of or relating to or being biography	r_a-9477	biografisch	google_opus_std-dict
conclusive	eng-30-00550282-a	forming an end or termination; especially putting an end to doubt or question	d_a-542087	voldoend	automatic-rule-1_opus_std-dict
extrasensory	eng-30-02108827-a	seemingly outside normal sensory channels	d_a-39420	buitenzintuiglijk	bing_std-dict
consular	eng-30-03056304-a	having to do with a consul or his office or duties	r_a-9831	consulair	google_opus_std-dict
gynaecological	eng-30-02916969-a	of or relating to or practicing gynecology	r_a-11382	gynaecologisch	opus_std-dict
embolic	eng-30-02992453-a	of or relating to an embolism or embolus	d_a-73710	embolisch	automatic-rule-1_google_bing_std-dict
pre-christian	eng-30-02761944-a	of or relating to or being the time before the beginning of the Christian era	d_a-320814	voorchristelijk	automatic-rule-1_google_std-dict
smokeless	eng-30-02234485-a	emitting or containing little or no smoke	r_a-14699	rookvrij	opus_std-dict
nonjudgmental	eng-30-00649405-a	refraining from making judgments especially ones based on personal opinions or standards	r_a-13356	onbevooroordeeld	automatic-rule-1_bing_std-dict
postwar	eng-30-00130017-a	belonging to the period after a war	r_a-13062	naoorlogs	bing_opus_alt-dict
moravian	eng-30-03040635-a	of or relating to the people or culture of Moravia	r_a-17017	Moravisch	bing_opus_alt-dict
apsidal	eng-30-02636261-a	of or relating to an apse	d_a-89221	gelijkaardig	automatic-rule-1_bing_std-dict
electrostatic	eng-30-02719009-a	concerned with or producing or caused by static electricity	d_a-73422	elektrostatisch	automatic-rule-1_google_bing_opus_std-dict
epical	eng-30-03015589-a	constituting or having to do with or suggestive of a literary epic	r_a-10506	episch	automatic-rule-1_google_bing_opus_std-dict
disproportional	eng-30-00483048-a	out of proportion	r_a-13443	onevenredig	google_bing_std-dict
microcosmic	eng-30-02902744-a	relating to or characteristic of a microcosm	d_a-180524	microkosmisch	automatic-rule-1_google_bing_std-dict
pardonable	eng-30-01721059-a	admitting of being pardoned	d_a-309038	vergeeflijk	automatic-rule-1_bing_std-dict
centralistic	eng-30-02688016-a	advocating centralization	r_a-9807	centralistisch	automatic-rule-1_google_bing_std-dict
opportune	eng-30-01660994-a	suitable or at a time that is suitable or advantageous especially for a particular purpose	r_a-13902	opportuun	bing_opus_std-dict
inconsolable	eng-30-01232298-a	sad beyond comforting; incapable of being consoled	r_a-13696	ontroostbaar	google_bing_opus_std-dict
adopted	eng-30-01034296-a	acquired as your own by free choice	d_a-102357	geadopteerd	automatic-rule-1_opus_std-dict
agronomic	eng-30-02608902-a	of or relating to or promoting agronomy	d_a-9288	agronomisch	automatic-rule-1_bing_opus_std-dict
irreversible	eng-30-01759362-a	incapable of being reversed	r_a-13610	onomkeerbaar	opus_std-dict
ethnographic	eng-30-03064883-a	of or relating to ethnography	d_a-75880	etnografisch	google_std-dict
depressing	eng-30-00364479-a	causing sad feelings of gloom and inadequacy	r_a-10250	deprimerend	google_bing_opus_std-dict
repentant	eng-30-01743217-a	feeling or expressing remorse for misdeeds	r_a-9540	berouwvol	bing_opus_alt-dict
neuralgic	eng-30-03090456-a	of or relating to or suffering from neuralgia	d_a-184050	neuralgisch	automatic-rule-1_bing_std-dict
subcutaneous	eng-30-02876936-a	relating to or located below the epidermis	r_a-9853	cilindervormig	automatic-rule-1_opus_std-dict
light-colored	eng-30-00408660-a	(used of color) having a relatively small amount of coloring agent	d_a-164793	lichtgekleurd	automatic-rule-1_google_std-dict
inhibited	eng-30-01316222-a	held back or restrained or prevented	r_a-11005	geremd	bing_opus_std-dict
inconsolable	eng-30-01232298-a	sad beyond comforting; incapable of being consoled	r_a-13760	onvermurwbaar	opus_std-dict
follicular	eng-30-03019836-a	of or relating to or constituting a follicle	d_a-82327	folliculair	opus_std-dict
summery	eng-30-01254784-a	belonging to or characteristic of or occurring in summer	r_a-16434	zomers	bing_alt-dict
unforgettable	eng-30-01040410-a	impossible to forget	r_a-13744	onvergetelijk	google_opus_std-dict
diametral	eng-30-02711846-a	related to or along a diameter	r_a-10038	diametraal	google_std-dict
entomological	eng-30-03063868-a	of or relating to the biological science of entomology	d_a-74416	entomologisch	automatic-rule-1_google_bing_opus_std-dict
requested	eng-30-01965287-a	asked for	r_a-11337	gevraagd	google_bing_std-dict
epiphyseal	eng-30-02990501-a	relating to the epiphysis of a bone	d_a-74633	epifysair	automatic-rule-1_google_bing_std-dict
unliveable	eng-30-01423998-a	unfit or unsuitable to live in or with	r_a-13581	onleefbaar	google_opus_alt-dict
acellular	eng-30-00328128-a	not made up of or divided into cells	d_a-3655	acellulair	automatic-rule-1_opus_std-dict
dynastic	eng-30-02715244-a	of or relating to or characteristic of a dynasty	d_a-67843	dynastiek	automatic-rule-1_google_bing_std-dict
rusted	eng-30-02052983-a	having accumulated rust	d_a-418647	verroest	opus_std-dict
humorous	eng-30-01264336-a	full of or characterized by humor	r_a-12487	komisch	opus_alt-dict
decentralized	eng-30-01107973-a	withdrawn from a center or place of concentration; especially having power or function dispersed from a central to local authorities	r_a-10170	decentraal	google_alt-dict
terminological	eng-30-03123561-a	of or concerning terminology	d_a-288399	terminologisch	google_opus_std-dict
alarming	eng-30-00193015-a	frightening because of an awareness of danger	d_a-19222	alarmerend	opus_std-dict
doctrinal	eng-30-03006225-a	relating to or involving or preoccupied with doctrine	d_a-61808	doctrinair	automatic-rule-1_bing_opus_std-dict
unipolar	eng-30-02475529-a	having a single pole	d_a-303811	unipolair	automatic-rule-1_google_bing_opus_std-dict
geothermal	eng-30-02735669-a	of or relating to the heat in the interior of the earth	d_a-90583	geothermisch	google_std-dict
motivated	eng-30-01558385-a	provided with a motive or given incentive for action	r_a-11284	gemotiveerd	google_bing_opus_std-dict
extrinsic	eng-30-01349041-a	not forming an essential part of a thing or arising or originating from the outside	d_a-77309	extrinsiek	automatic-rule-1_google_bing_opus_std-dict
excrescent	eng-30-02723904-a	forming an outgrowth (usually an excessive outgrowth)	r_a-13996	overtollig	google_std-dict
oxidised	eng-30-03151122-a	combined with or having undergone a chemical reaction with oxygen	d_a-407452	geoxydeerd	opus_std-dict
microeconomic	eng-30-02764159-a	of or relating to microeconomics	r_a-12851	micro-economisch	automatic-rule-1_bing_std-dict
astronautical	eng-30-02646381-a	of or belonging to astronauts or the science of astronautics	d_a-14380	astronautisch	google_std-dict
ornithological	eng-30-03094928-a	of or relating to ornithology	r_a-13936	ornithologisch	opus_alt-dict
repentant	eng-30-01743217-a	feeling or expressing remorse for misdeeds	r_a-9540	berouwvol	google_opus_std-dict
syllogistic	eng-30-02910644-a	of or relating to or consisting of syllogism	d_a-278651	syllogistisch	google_std-dict
costive	eng-30-00637751-a	retarding evacuation of feces; binding; constipating	r_a-11789	hardlijvig	google_std-dict
disinclined	eng-30-01293158-a	unwilling because of mild dislike or disapproval	d_a-194163	ongenegen	opus_std-dict
useless	eng-30-02497141-a	having no beneficial use or incapable of functioning usefully	r_a-13195	nutteloos	opus_alt-dict
teleological	eng-30-02991586-a	of or relating to teleology	d_a-287558	teleologisch	automatic-rule-1_bing_opus_std-dict
pyretic	eng-30-01170069-a	causing fever	r_a-12650	koortswerend	automatic-rule-1_google_std-dict
pentagonal	eng-30-02834730-a	of or relating to or shaped like a pentagon	d_a-213840	pentagonaal	opus_std-dict
cardiovascular	eng-30-02874130-a	of or pertaining to or involving the heart and blood vessels	d_a-46031	cardiovasculair	opus_std-dict
radioactive	eng-30-00426907-a	exhibiting or caused by radioactivity	r_a-14509	radioactief	google_bing_opus_alt-dict
thinkable	eng-30-02417895-a	capable of being conceived or imagined or considered	r_a-10024	denkbaar	bing_alt-dict
inelegant	eng-30-00851103-a	lacking in refinement or grace or good taste	d_a-208117	onelegant	opus_std-dict
unblemished	eng-30-00247013-a	free from physical or moral spots or stains	r_a-13355	onbevlekt	opus_std-dict
deflationary	eng-30-02538803-a	associated with or tending to cause decreases in consumer prices or increases in the purchasing power of money	d_a-57425	deflatoir	opus_std-dict
profitable	eng-30-01870889-a	yielding material gain or profit	r_a-15843	winstgevend	google_opus_std-dict
undemocratic	eng-30-00717417-a	not in agreement with or according to democratic doctrine or practice or ideals	r_a-13383	ondemocratisch	bing_opus_alt-dict
exculpatory	eng-30-00923321-a	clearing of guilt or blame	d_a-208378	ontlastend	automatic-rule-1_bing_opus_std-dict
injured	eng-30-01317954-a	harmed	r_a-11094	gewond	automatic-rule-1_opus_std-dict
trivalent	eng-30-03126399-a	having a valence of three	d_a-65504	driewaardig	automatic-rule-1_opus_std-dict
bibliographical	eng-30-02662538-a	relating to or dealing with bibliography	d_a-29898	bibliografisch	automatic-rule-1_bing_opus_std-dict
cinerary	eng-30-02951184-a	containing or used for ashes of the cremated dead	r_a-8815	asgrauw	google_std-dict
ethnologic	eng-30-03065047-a	of or relating to ethnology	d_a-75890	etnologisch	automatic-rule-1_bing_std-dict
unshrinkable	eng-30-02158192-a	incapable of being shrunk or diminished or reduced	r_a-12665	krimpvrij	google_std-dict
thinkable	eng-30-02417895-a	capable of being conceived or imagined or considered	r_a-10024	denkbaar	google_std-dict
intermolecular	eng-30-02901178-a	existing or acting between molecules	d_a-126942	intermoleculair	automatic-rule-1_google_bing_std-dict
nautical	eng-30-02889746-a	relating to or involving ships or shipping or navigation or seamen	r_a-13082	nautisch	google_bing_opus_alt-dict
homemade	eng-30-00674270-a	made or produced in the home or by yourself	r_a-16494	zelfgemaakt	automatic-rule-1_bing_opus_std-dict
centralist	eng-30-02688016-a	advocating centralization	r_a-9807	centralistisch	automatic-rule-1_bing_opus_std-dict
strategical	eng-30-02950711-a	relating to or concerned with strategy	r_a-15073	strategisch	bing_alt-dict
octagonal	eng-30-02834862-a	of or relating to or shaped like an octagon	d_a-4368	achthoekig	google_opus_std-dict
biographical	eng-30-03048680-a	of or relating to or being biography	r_a-9477	biografisch	bing_opus_alt-dict
islamic	eng-30-02923510-a	of or relating to or supporting Islamism	r_a-12014	islamitisch	bing_opus_alt-dict
albuminous	eng-30-02610364-a	relating to or containing or resembling albumin	r_a-10556	eiwithoudend	google_std-dict
invulnerable	eng-30-02525206-a	immune to attack; impregnable	r_a-13579	onkwetsbaar	google_bing_opus_std-dict
hydrophilic	eng-30-00491971-a	having a strong affinity for water; tending to dissolve in, mix with, or be wetted by water	d_a-114725	hydrofiel	automatic-rule-1_google_opus_std-dict
unmarried	eng-30-01482228-a	not married or related to the unmarried state	r_a-13535	ongetrouwd	opus_std-dict
unscrupulous	eng-30-02085898-a	without scruples or principles	r_a-11085	gewetenloos	bing_opus_alt-dict
dishonourable	eng-30-01227137-a	lacking honor or integrity; deserving dishonor	r_a-13436	oneervol	google_bing_opus_std-dict
binaural	eng-30-00240417-a	relating to or having or hearing with two ears	d_a-272481	stereofonisch	opus_std-dict
inaccurate	eng-30-00023383-a	not exact	r_a-13600	onnauwkeurig	google_opus_std-dict
known	eng-30-01375174-a	apprehended with certainty	r_a-8748	alcoholisch	opus_alt-dict
physicochemical	eng-30-02693186-a	relating to physical chemistry	r_a-10770	fysisch	google_std-dict
parhelic	eng-30-02774269-a	relating to or resembling a parhelion	d_a-231796	parhelisch	automatic-rule-1_google_std-dict
preclinical	eng-30-02783412-a	of or relating to the early phases of a disease when accurate diagnosis is not possible because symptoms of the disease have not yet appeared	d_a-223868	preklinisch	opus_std-dict
contrasty	eng-30-01021923-a	having sharp differences between black and white	d_a-55346	contrastrijk	automatic-rule-1_google_bing_std-dict
soiled	eng-30-00419289-a	soiled or likely to soil with dirt or grime	d_a-401488	besmeurd	automatic-rule-1_opus_std-dict
homogeneous	eng-30-01199751-a	all of the same or similar kind or nature	r_a-11665	homogeen	google_opus_std-dict
necrotic	eng-30-02982602-a	relating to or affected by necrosis	d_a-182908	necrotisch	automatic-rule-1_google_opus_std-dict
alkaline	eng-30-00025728-a	relating to or containing an alkali; having a pH greater than 7	d_a-22063	basisch	opus_std-dict
pious	eng-30-01781478-a	having or showing or expressing reverence for a deity	r_a-16174	vroom	google_opus_std-dict
equitable	eng-30-00958151-a	fair to all parties as dictated by reason and conscience	r_a-9308	billijk	google_std-dict
matriarchal	eng-30-01738335-a	characteristic of a matriarchy	r_a-12778	matriarchaal	bing_opus_alt-dict
unearned	eng-30-00821723-a	not gained by merit or labor or service	r_a-13734	onverdiend	bing_alt-dict
equitable	eng-30-00958151-a	fair to all parties as dictated by reason and conscience	r_a-9308	billijk	bing_opus_alt-dict
unsocial	eng-30-02249441-a	not seeking or given to association; being or living without companions	d_a-194656	onmaatschappelijk	google_std-dict
viennese	eng-30-02971192-a	of or relating to or characteristic of Vienna or its inhabitants	r_a-17220	Weens	google_opus_std-dict
encysted	eng-30-02876514-a	enclosed in (or as if in) a cyst	r_a-11914	ingekapseld	bing_std-dict
barometrical	eng-30-02658835-a	relating to atmospheric pressure or indicated by a barometer	d_a-21838	barometrisch	automatic-rule-1_google_std-dict
undignified	eng-30-00752392-a	lacking dignity	r_a-13806	onwaardig	automatic-rule-1_bing_opus_std-dict
unrecoverable	eng-30-01956523-a	incapable of being recovered or regained	r_a-13565	onherstelbaar	bing_opus_alt-dict
boeotian	eng-30-03017468-a	of or relating to ancient Boeotia or its people or to the dialect spoken there in classical times	r_a-16731	Boeotisch	automatic-rule-1_bing_std-dict
unhelpful	eng-30-01198019-a	providing no assistance	r_a-13195	nutteloos	bing_alt-dict
unvaried	eng-30-02507968-a	lacking variety	r_a-13724	onveranderd	google_std-dict
buddhistic	eng-30-02924102-a	of or relating to or supporting Buddhism	r_a-9490	boeddhistisch	bing_alt-dict
unmotorised	eng-30-01559804-a	having no motor	r_a-10928	gemotoriseerd	automatic-rule-1_bing_std-dict
imbalanced	eng-30-00894757-a	being or thrown out of equilibrium	r_a-13444	onevenwichtig	google_bing_alt-dict
armorial	eng-30-03045059-a	of or relating to heraldry or heraldic arms	d_a-341160	wapenkundig	automatic-rule-1_google_std-dict
febrile	eng-30-02726715-a	of or relating to or characterized by fever	d_a-79529	febriel	automatic-rule-1_google_opus_std-dict
cone-shaped	eng-30-02844728-a	relating to or resembling a cone	d_a-132440	kegelvormig	automatic-rule-1_google_std-dict
unheeding	eng-30-01193714-a	"marked by or paying little heed or attention; we know now that it is bad economics""--Franklin D. Roosevelt"	r_a-13270	onachtzaam	google_std-dict
epidemiologic	eng-30-02976681-a	of or relating to epidemiology	d_a-74603	epidemiologisch	automatic-rule-1_google_bing_std-dict
hematological	eng-30-02917470-a	of or relating to or involved in hematology	d_a-107880	hematologisch	automatic-rule-1_google_bing_std-dict
inclusive	eng-30-01863680-a	including much or everything; and especially including stated limits	r_a-8914	allesomvattend	automatic-rule-1_opus_std-dict
reparable	eng-30-01963509-a	capable of being repaired or rectified	r_a-11809	herstelbaar	google_std-dict
unmarried	eng-30-01482228-a	not married or related to the unmarried state	r_a-13535	ongetrouwd	automatic-rule-1_opus_std-dict
inexplicable	eng-30-00939105-a	incapable of being explained or accounted for	r_a-13750	onverklaarbaar	google_opus_std-dict
administrative	eng-30-02904075-a	of or relating to or responsible for administration	r_a-9456	bestuursrechtelijk	opus_alt-dict
insincere	eng-30-02180797-a	lacking sincerity	d_a-194868	onoprecht	google_bing_opus_std-dict
gastronomical	eng-30-02975840-a	of or relating to gastronomy	d_a-86961	gastronomisch	automatic-rule-1_google_bing_std-dict
adjudicatory	eng-30-02603926-a	concerned with adjudicating	r_a-16310	voorafgaand	bing_alt-dict
summery	eng-30-01254784-a	belonging to or characteristic of or occurring in summer	r_a-16434	zomers	google_std-dict
debilitating	eng-30-01357966-a	impairing the strength and vitality	r_a-14927	slopend	opus_std-dict
unaltered	eng-30-00353206-a	remaining in an original state	r_a-13544	ongewijzigd	bing_opus_alt-dict
infected	eng-30-02113827-a	containing or resulting from disease-causing organisms	d_a-407214	geïnfecteerd	automatic-rule-1_opus_std-dict
harmless	eng-30-01159655-a	not causing or capable of causing harm	r_a-13536	ongevaarlijk	automatic-rule-1_opus_std-dict
unneeded	eng-30-01581115-a	not necessary	r_a-13604	onnodig	google_alt-dict
cared-for	eng-30-00308355-a	having needed care and attention	r_a-16289	verzorgd	bing_alt-dict
subsequent	eng-30-00122626-a	following in time or order	r_a-16306	volgend	opus_alt-dict
unmade	eng-30-01469516-a	(of a bed) not having the sheets and blankets set in order	r_a-13745	onverhard	bing_alt-dict
positivistic	eng-30-02782815-a	of or relating to positivism	d_a-222454	positivistisch	automatic-rule-1_google_bing_std-dict
re-entrant	eng-30-02592015-a	(of angles) pointing inward	r_a-12038	inspringend	google_std-dict
mindful	eng-30-01977155-a	bearing in mind; attentive to	r_a-12021	indachtig	google_bing_std-dict
archeological	eng-30-02638392-a	related to or dealing with or devoted to archaeology	r_a-8945	archeologisch	bing_opus_std-dict
unbreakable	eng-30-00709744-a	impossible to break especially under ordinary usage	r_a-13373	onbreekbaar	google_bing_opus_std-dict
loving	eng-30-01463965-a	feeling or showing love and affection	d_a-164821	liefhebbend	automatic-rule-1_opus_std-dict
perceptual	eng-30-02945377-a	of or relating to the act of perceiving	d_a-231851	perceptueel	opus_std-dict
theocratic	eng-30-02990819-a	of or relating to or being a theocracy	d_a-299817	theocratisch	automatic-rule-1_bing_opus_std-dict
inaccurate	eng-30-00023383-a	not exact	r_a-15970	verkeerd	opus_alt-dict
collapsible	eng-30-00465737-a	capable of collapsing or being collapsed	r_a-13916	opvouwbaar	opus_alt-dict
slippy	eng-30-02234781-a	causing or tending to cause things to slip or slide	r_a-11131	glibberig	google_std-dict
conclusive	eng-30-00550282-a	forming an end or termination; especially putting an end to doubt or question	r_a-8716	afdoend	google_std-dict
intracellular	eng-30-02686159-a	located or occurring within a cell or cells	d_a-124193	intracellulair	automatic-rule-1_google_bing_opus_std-dict
melanesian	eng-30-02863959-a	of or relating to Melanesia or its people or culture	r_a-16998	Melanesisch	automatic-rule-1_opus_std-dict
unimpaired	eng-30-01275395-a	not damaged or diminished in any respect	r_a-13263	onaangetast	google_std-dict
vascular	eng-30-02873811-a	of or relating to or having vessels that conduct and circulate fluids	d_a-306060	vasculair	opus_std-dict
idiopathic	eng-30-02745739-a	(of diseases) arising from an unknown cause	r_a-11965	idiomatisch	opus_alt-dict
untranslatable	eng-30-02489312-a	not capable of being put into another form or style or language	r_a-13768	onvertaalbaar	google_bing_std-dict
gaseous	eng-30-02262542-a	existing as or having characteristics of a gas	r_a-11208	gasvormig	opus_std-dict
intolerable	eng-30-02435671-a	incapable of being put up with	r_a-13266	onaanvaardbaar	bing_std-dict
ergonomic	eng-30-02721877-a	of or relating to ergonomics	r_a-10510	ergonomisch	google_bing_opus_alt-dict
theological	eng-30-02907000-a	of or relating to or concerning theology	r_a-15407	theologisch	google_opus_std-dict
uninjured	eng-30-01319182-a	not injured physically or mentally	r_a-13465	ongedeerd	google_bing_std-dict
acellular	eng-30-00328128-a	not made up of or divided into cells	d_a-3655	acellulair	google_bing_opus_std-dict
gynecologic	eng-30-02916969-a	of or relating to or practicing gynecology	r_a-11382	gynaecologisch	google_alt-dict
perplexed	eng-30-01765643-a	full of difficulty or confusion or bewilderment	r_a-15935	verbijsterd	bing_std-dict
irreligious	eng-30-01784017-a	hostile or indifferent to religion	d_a-194430	ongodsdienstig	google_bing_std-dict
anthropocentric	eng-30-03135137-a	human-centered	r_a-9010	antropocentrisch	automatic-rule-1_google_bing_opus_std-dict
therapeutical	eng-30-02914213-a	relating to or involved in therapy	r_a-15494	therapeutisch	google_bing_alt-dict
motivational	eng-30-02766328-a	of or relating to motivation	d_a-180682	motiverend	automatic-rule-1_google_bing_opus_std-dict
wingless	eng-30-02568285-a	lacking wings	d_a-194355	ongevleugeld	google_std-dict
allopathic	eng-30-03073110-a	of or relating to the practice of allopathy	d_a-19283	allopathisch	automatic-rule-1_bing_opus_std-dict
archdiocesan	eng-30-02639193-a	of or relating to an archdiocese	d_a-2795	aartsbisschoppelijk	bing_std-dict
fissionable	eng-30-01016874-a	capable of undergoing nuclear fission	r_a-15160	splijtbaar	google_opus_std-dict
unprejudiced	eng-30-00286214-a	free from undue bias or preconceived opinions	r_a-13356	onbevooroordeeld	google_std-dict
particularistic	eng-30-02860719-a	relating to particularism (exclusive interest in one group or class or sect etc.)	d_a-211804	particularistisch	automatic-rule-1_bing_std-dict
atomistic	eng-30-01680836-a	divided into separate and often disparate elements	d_a-19427	atomistisch	automatic-rule-1_google_std-dict
idiomatic	eng-30-03004358-a	of or relating to or conforming to idiom	r_a-11965	idiomatisch	bing_alt-dict
architectural	eng-30-02897957-a	of or pertaining to the art and science of architecture	r_a-9498	bouwkundig	google_opus_std-dict
catechetical	eng-30-02982102-a	of or relating to or involving catechesis	d_a-55229	catechetisch	automatic-rule-1_google_bing_std-dict
hermeneutic	eng-30-02626294-a	interpretive or explanatory	d_a-108706	hermeneutisch	automatic-rule-1_google_bing_std-dict
monetary	eng-30-02775934-a	relating to or involving money	r_a-12941	monetair	bing_opus_alt-dict
unpleasant	eng-30-01801600-a	disagreeable to the senses, to the mind, or feelings	r_a-13642	onplezierig	opus_std-dict
arterial	eng-30-02641856-a	of or involving or contained in the arteries	d_a-260434	slagaderlijk	google_std-dict
indigestible	eng-30-01182747-a	digested with difficulty	r_a-13769	onverteerbaar	bing_opus_alt-dict
surprising	eng-30-02359464-a	causing surprise or wonder or amazement	r_a-16284	verwonderlijk	google_std-dict
pedagogical	eng-30-02945971-a	of or relating to pedagogy	r_a-14273	pedagogisch	google_opus_std-dict
autarchic	eng-30-02650795-a	of or relating to or characterized by autarchy	r_a-8970	absolutistisch	automatic-rule-1_opus_std-dict
inadmissible	eng-30-01762582-a	not deserving to be admitted	d_a-184617	niet-ontvankelijk	bing_std-dict
intolerable	eng-30-02435671-a	incapable of being put up with	r_a-13736	onverdraaglijk	opus_std-dict
paleolithic	eng-30-03090263-a	of or relating to the second period of the Stone Age (following the eolithic)	d_a-209892	paleolithisch	automatic-rule-1_opus_std-dict
unwrapped	eng-30-02087723-a	not yet wrapped or having the wrapping removed	d_a-208490	onverpakt	bing_std-dict
displeasing	eng-30-01808822-a	causing displeasure or lacking pleasing qualities	r_a-13813	onwelgevallig	google_std-dict
noxious	eng-30-01611067-a	injurious to physical or mental health	r_a-14804	schadelijk	bing_alt-dict
astrophysical	eng-30-02907798-a	of or concerned with astrophysics	d_a-14334	astrofysisch	automatic-rule-1_google_bing_opus_std-dict
lithographic	eng-30-03081681-a	of or produced by or involved in lithography	d_a-159198	lithografisch	google_std-dict
