lemma	rbn_id	synset_id	pos	ODWN_gloss	hypernym(s)	hypernym_gloss	ILI_English_gloss				
kanton	r_n-19005	odwn-10-101072821-n	n	gebied vallend onder één rechtbank;area covered by a single court	eng-30-08590369-n	in law; the territory within which power can be exercised	x				
overdragen	r_v-5971	odwn-10-101560348-v	v	overleveren;surrender	eng-30-01435380-v	send from one person or place to another	x				
uitproberen	r_v-8434	odwn-10-109636038-v	v	van mensen;of people	eng-30-00752764-v	express the need or desire for; ask for	x				
codenaam	r_n-9512	odwn-10-100241833-n	n	schuilnaam	eng-30-06333653-n	a language unit by which a person or thing is known	x				
blikseminslag	r_n-7559	odwn-10-109297833-n	n	het inslaan van bliksem;smashing lightning	eng-30-07338552-n	the striking of one body against another	x				
aanbrengen	r_v-23	odwn-10-100560872-v	v	aangeven bij een instantie;indicate a body	eng-30-02235842-v	convey or reveal information	x				
toneelschrijver	r_n-38018	odwn-10-102792789-n	n	iemand die toneelstukken schrijft;someone who writes plays	eng-30-10794014-n	writes (books or stories or articles or the like) professionally (for pay)	x				
vrijheidsberoving	r_n-41895	odwn-10-104554949-n	n	het iemand gevangen houden	eng-30-00965895-n;eng-30-00036762-n	the act of stealing valuable things from a place	x				
appelstroop	r_n-3759	odwn-10-108259868-n	n	stroop van appels;syrup of apples	eng-30-07859583-n	a thick sweet sticky liquid	a thick sweety syrop made of appels				
presenteren	r_v-6432	odwn-10-103675099-v	v	als presentator optreden;presenter act	eng-30-02440244-v	be in charge of	x				
charge	r_n-9273	odwn-10-100896045-n	n	aanval v.d. politie;attack of the police	eng-30-00972621-n	(military) an offensive against an enemy (using weapons)	x				
activeren	r_v-412	odwn-10-100812956-v	v	actief maken;activate	eng-30-00765649-v	force or impel in an indicated direction	x				
excommuniceren	r_v-2674	odwn-10-103215467-v	v	uit de kerk bannen;from the church ban	eng-30-02450505-v	stop (someone or something) from doing something or being in a certain state	x				
dweilen	r_v-2612	odwn-10-108646672-v	v	met een dweil schoonmaken;cleaning with a mop	eng-30-01532589-v	make clean by removing dirt, filth, or unwanted substances from	x				
standaardvoorbeeld	r_n-35550	odwn-10-104308455-n	n	voorbeeld dat veelal gegeven wordt;example given often	eng-30-05937112-n	a representative form or pattern	x				
jeugdwerk	r_n-18504	odwn-10-102991399-n	n	vormingswerk voor de jeugd	eng-30-01208924-n	any of various services designed to aid the poor and aged and to increase the welfare of children	x				
superieur	r_n-36613	odwn-10-106786611-n	n	iemand met een hogere rang;someone with a higher rank	eng-30-10676018-n	one of greater rank or station or quality	x				
grondspeculatie	r_n-15874	odwn-10-105080208-n	n	speculatie met grondbezit;speculation with land	eng-30-01091905-n	the commercial exchange (buying and selling on domestic or international markets) of goods and services	x				
hertogin	r_n-16773	odwn-10-107911621-n	n	(vrouw met een) adellijke titel;with a woman titled	eng-30-10271677-n	a titled peer of the realm	x				
uitboeken	r_v-8211	odwn-10-104993310-v	v	uitschrijven;unsubscribe	eng-30-01000214-v	make a record of; set down in permanent form	x				
dutje	r_n-11844	odwn-10-106516643-n	n	kort slaapje;short sleep	eng-30-13920835-n	a state at a particular time	x				
hit	r_n-16864	odwn-10-107492886-n	n	dienstmeisje	eng-30-10282672-n	a female domestic	x				
inslaan	r_v-3546	odwn-10-101500382-v	v	indrijven;driving operation	eng-30-01400044-v	deal a blow to, either with the hand or with an instrument	x				
slab	r_n-33933	odwn-10-106370746-n	n	doekje tegen het morsen	eng-30-04451818-n	an implement used in the practice of a vocation	x				
brigadier	r_n-8511	odwn-10-102380237-n	n	helper in verkeer;helper in traffic	eng-30-09608709-n	a person who helps people or institutions (especially with financial help)	x				
rechtervoet	r_n-30683	odwn-10-105363288-n	n	voet die aan de rechterzijde zit	eng-30-05563266-n	the part of the leg of a human being below the ankle joint	the right foot of a human				
consumptie	r_n-9919	odwn-10-104968877-n	n	het verbruiken van goederen	eng-30-00356367-n	the act of consuming something	x				
Indonesië	r_n-17807	odwn-10-100390629-n	n	land in Azië;country in Asia	eng-30-08168978-n	a politically organized body of people under a single government	x				
scheepslading	r_n-32817	odwn-10-100515553-n	n	vracht v.e. schip;freight of a ship	eng-30-02964389-n	goods carried by a vehicle	goods carried by a ship				
verzetsmonument	r_n-40718	odwn-10-101102808-n	n	gedenkteken ter ere v.h. verzet	eng-30-03743902-n	a structure erected to commemorate persons or events	monument to commemorate those that resisted against the suprressors during a war				
kletsen	r_v-3923	odwn-10-102818048-v	v	gezellig praten;socialize	eng-30-00943837-v	give expression to	x				
panharing	r_n-27471	odwn-10-105423728-n	n	haring die gebakken moet worden;fried herring should be	eng-30-07784522-n	valuable flesh of fatty fish from shallow waters of northern Atlantic or Pacific; usually salted or pickled	x				
zeboe	r_n-43825	odwn-10-106552778-n	n	bepaald rund;determined beef	eng-30-02402010-n	any of various members of the genus Bos	x				
rauwkost	r_n-30583	odwn-10-109149105-n	n	gerecht van gemengde rauwe groenten;dish of mixed raw vegetables	eng-30-07707451-n	edible seeds or roots or stems or leaves or bulbs or tubers or nonsweet fruits of any of numerous herbaceous plant	x				
zwaan	r_n-44502	odwn-10-108091031-n	n	grote zwarte of witte zwemvogel;large black and white bird swim	eng-30-09252970-n	a configuration of stars as seen from the earth	x				
stoten	r_v-7576	odwn-10-104825644-v	v	in krachtsport;in power sports	eng-30-01511706-v	cause to move forward with force	x				
vloedgolf	r_n-41174	odwn-10-106429117-n	n	golf bij natuurrampen;surge in natural disasters	eng-30-07352190-n	one of a series of ridges that moves across the surface of a liquid (especially across a large body of water)	A storm surge is a coastal flood or tsunami-like phenomenon of rising water commonly associated with low pressureweather systems (such as tropical cyclones and strong extratropical cyclones), the severity of which is affected by the shallowness and orientation of the water body relative to storm path, and the timing of tides				
bijmaken	r_v-1631	odwn-10-107631294-v	v	extra maken;create additional	eng-30-02413480-v	exert oneself by doing mental or physical work for a purpose or out of necessity	x				
Pasen	r_n-27799	odwn-10-104069923-n	n	bepaald christelijk feest;determined Christian festival	eng-30-07450651-n	a joyful occasion for special festivities to mark some happy event	x				
ontschepen	r_v-5334	odwn-10-101959456-v	v	uitladen;unload	eng-30-01489332-v	remove the charge from	remove the charge from a ship or boat				
opslaan	r_v-5767	odwn-10-109863364-v	v	bij balsport: serveren;at ball sport: serve	eng-30-01400044-v	deal a blow to, either with the hand or with an instrument	x				
rondstruinen	r_v-6833	odwn-10-106478449-v	v	rondlopen;roam	eng-30-02169119-v	search or inquire in a meddlesome way	x				
winkelcentrum	r_n-43300	odwn-10-101152242-n	n	(overdekte) plaats met diverse winkels;covered place with various shops	eng-30-08053576-n	an organization founded and united for a specific purpose	x				
raadsverkiezing	r_n-30263	odwn-10-108500821-n	n	verkiezing v.e. gemeenteraad;election of a town council	eng-30-00180962-n	the act of selecting someone or something; the exercise of deliberate choice	election for the board of control of a municipal government				
vervolmaken	r_v-9454	odwn-10-101109342-v	v	perfectioneren;perfecting	eng-30-00126264-v	cause to change; make different; cause a transformation	x				
aftuigen	r_v-875	odwn-10-101104633-v	v	de tuigage afhalen van;pick up the rigging	eng-30-01511706-v	cause to move forward with force	x				
OESO	r_n-25543	odwn-10-102100502-n	n	economisch samenwerkingsverband;Economic Interest Grouping	eng-30-00031264-n	any number of entities (members) considered as a unit	x				
doorbijten	r_v-2327	odwn-10-109932049-v	v	stukbijten;chew	eng-30-00274283-v	cause to deteriorate due to the action of water, air, or an acid					
bespreken	r_v-1417	odwn-10-104674403-v	v	recenseren;review	eng-30-00952524-v	let something be known					
boordwerktuigkundige	r_n-8072	odwn-10-109022842-n	n	technicus in vliegtuig;technician in plane	eng-30-10279018-n	a craftsman skilled in operating machine tools					
discuswerpen	r_v-2255	odwn-10-102204552-v	v	de discus werpen;throw the discus	eng-30-01072949-v	participate in games or sport	to participate in the javelin throw				
snuiven	r_v-7311	odwn-10-100483353-v	v	met je neus ophalen;pick your nose	eng-30-01200440-v	use recreational drugs	x				
pepernoot	r_n-28178	odwn-10-107165123-n	n	hard, met speculaas gekruid snoepje;hard , with spiced spicy sweet	eng-30-07557165-n	something considered choice to eat	A pepernoot is a Dutchor Belgian cookie-like kind of confectionery, traditionally associated with the early December Sinterklaas holiday in the Netherlands and Belgium.				
afschuiven	r_v-726	odwn-10-107891549-v	v	van zich afzetten;off of themselves	eng-30-01584701-v	push roughly	x				
chemisier	r_n-9305	odwn-10-104113467-n	n	hemdblouse;shirt blouse	eng-30-02854926-n	a top worn by women	x				
quotiënt	r_n-30228	odwn-10-103151013-n	n	uitkomst v.e. deling	eng-30-11410625-n	a phenomenon that follows and is caused by some previous phenomenon	x				
hoofdmacht	r_n-17096	odwn-10-109184218-n	n	eerste team v.e. sportvereniging;first team of a sports club	eng-30-08208560-n	a cooperative unit (especially in sports)	x				
wedstrijdleider	r_n-42610	odwn-10-107145182-n	n	degene die de wedstrijd leidt;the one who leads the race	eng-30-09623038-n	a person who rules or guides or inspires others	someone who leads a sports match				
wisser	r_n-43408	odwn-10-109920359-n	n	gebruiksvoorwerp met haren;voorwerp om (mee) te wissen;utensil with hair	eng-30-02908217-n	an implement that has hairs or bristles firmly set into a handle	x				
aansteken	r_v-249	odwn-10-105230459-v	v	aansteken;doen branden;do burn;light	eng-30-02759614-v	cause to start burning; subject to fire or great heat	x				
studieboek	r_n-36411	odwn-10-109229564-n	n	boek waaruit men studeert;book which one is studying	eng-30-06410904-n	a written work or composition that has been published (printed on pages bound together)	x				
semi-prof	r_n-33549	odwn-10-100154878-n	n	profsporter met (bij)baan;professional athlete with by orbit	eng-30-10462860-n	someone who practices a learned profession	x				
haviksneus	r_n-16438	odwn-10-101750459-n	n	sterk gebogen neus;strongly curved nose	eng-30-05220461-n	any part of an organism such as an organ or extremity	x				
spraakwaterval	r_n-35227	odwn-10-104893017-n	n	iemand die veel praat;someone who often talks	eng-30-10630188-n	someone who expresses in language; someone who talks (especially someone who delivers a public speech or someone especially garrulous)	someone who talks a lot				
gitaar	r_n-15233	odwn-10-103763211-n	n	snaarinstrument met zes snaren;stringed instrument with six strings	eng-30-04338517-n	a musical instrument in which taut strings provide the source of sound	x				
satisfactie	r_n-32580	odwn-10-106799631-n	n	genoegdoening;satisfaction	eng-30-00266806-n	the act of putting something in working order again	x				
tegenpruttelen	r_v-7729	odwn-10-108708615-v	v	tegensputteren;grumble	eng-30-02521410-v	express opposition through action or words	x				
openhouden	r_v-5516	odwn-10-109040832-v	v	geopend houden;opened hold	eng-30-02681795-v	keep in a certain state, position, or activity; e.g., "keep clean"	keep something open, for example a door				
regie	r_n-31074	odwn-10-107856917-n	n	nutsbedrijf;utility	eng-30-08185758-n	a company that performs a public service; subject to government regulation	x				
uitpakken	r_v-8423	odwn-10-102833923-v	v	leegmaken;empty	eng-30-01511706-v	cause to move forward with force	x				
schaduwen	r_v-6950	odwn-10-104754980-v	v	heimelijk volgen;secretly follow	eng-30-01998432-v	to travel behind, go after, come after	x				
schriftuur	r_n-33305	odwn-10-108502116-n	n	stuk tekst;piece of text	eng-30-06284225-n	one of the natural units into which linguistic messages can be analyzed	x				
inhuldigen	r_v-3424	odwn-10-102537800-v	v	feestelijk benoemen;appoint festive	eng-30-00183879-v	add as part of something else; put in as part of a set, group, or category	x				
werkingsduur	r_n-42952	odwn-10-100746489-n	n	tijd dat iets werkt;time that something works	eng-30-15133621-n	the period of time during which something continues	x				
afbrengen	r_v-453	odwn-10-108896339-v	v	(iemand) weerhouden van;someone deterring	eng-30-02077656-v	take something or somebody with oneself somewhere	x				
overzijde	r_n-27253	odwn-10-106541541-n	n	overkant	eng-30-02875013-n	a strip forming the outer edge of something	x				
commercialiseren	r_v-1984	odwn-10-102816451-v	v	verzakelijken;verzakelijken	eng-30-00126264-v	cause to change; make different; cause a transformation	x				
bijt	r_n-7312	odwn-10-102017478-n	n	gat in ijs;hole in ice	eng-30-09304465-n	an opening into or through something	a whole in the ice				
booreiland	r_n-8073	odwn-10-107710279-n	n	kunstmatig eiland voor boringen;artificial island for drilling	eng-30-03159640-n	a platform raised above the surrounding level to give prominence to the person on it	x				
spicht	r_n-34977	odwn-10-107542499-n	n	lang en mager kind;tall and skinny kid	eng-30-09917593-n	a young person of either sex	a tall and skinny kid				
sloerie	r_n-34180	odwn-10-105667929-n	n	ordinaire vrouw;ordinary woman	eng-30-10787470-n	an adult female person (as opposed to a man)	x				
aanduiden	r_v-40	odwn-10-101747147-v	v	blijk geven van;show	eng-30-00940384-v;eng-30-01737141-v	articulate; either verbally or with a cry, shout, or noise	x				
verleppen	r_v-9106	odwn-10-103788365-v	v	verwelken;wither	eng-30-01831531-v	move so as to change position, perform a nontranslational motion	x				
publicist	r_n-30062	odwn-10-100346704-n	n	iemand die schrijft over het nieuws;someone who writes about news	eng-30-09965021-n	a person employed to write advertising or publicity copy	someone who writes about the news				
raadsbesluit	r_n-30253	odwn-10-101120999-n	n	besluit v.e. raad;decision of a council	eng-30-05838176-n	a position or opinion or judgment reached after consideration	x				
pantoffelheld	r_n-27504	odwn-10-104488547-n	n	man die onder de plak zit;man who is under the slab	eng-30-10640620-n	'a person''s partner in marriage'	a man who is henpecked				
geldboete	r_n-14397	odwn-10-106456285-n	n	geld voor straf te betalen;boete te voldoen in geld;pay cash for punishment;to meet fine money	eng-30-01160342-n	the act of punishing	x				
troeteldier	r_n-38541	odwn-10-102020337-n	n	knuffeldier;stuffed	eng-30-00031264-n	any number of entities (members) considered as a unit	x				
logies	r_n-22441	odwn-10-108644503-n	n	onderdak;shelter	eng-30-01053617-n	continuing or remaining in a place or state	x				
killen	r_v-3866	odwn-10-100954730-v	v	afmaken;finish	eng-30-01323958-v	cause to die; put to death, usually intentionally or knowingly	x				
kwekeling	r_n-21129	odwn-10-107237528-n	n	leerling-onderwijzer;pupil-teacher	eng-30-10665698-n	a learner who is enrolled in an educational institution	x				
maxi	r_n-23375	odwn-10-106380499-n	n	dameskleding die tot op de enkel valt;ladies who falls to the ankle	eng-30-03051540-n	'a covering designed to be worn on a person''s body'	x				
stemgedrag	r_n-35729	odwn-10-107515029-n	n	voorkeuren bij het stemmen;preferences when voting	eng-30-01220984-n	manner of acting or controlling yourself	x				
el	r_n-12257	odwn-10-105948165-n	n	oude lengtemaat	eng-30-04731497-n	a distinguishing quality	x				
poule	r_n-29410	odwn-10-109591615-n	n	spel om een inzet;game for a wager	eng-30-00455599-n	a contest with rules to determine a winner	x				
inslikken	r_v-3552	odwn-10-106834030-v	v	naar binnen slikken;swallow inwards	eng-30-01511706-v	cause to move forward with force	x				
versnijden	r_v-9309	odwn-10-103088409-v	v	vermengen met slechter product;mingle with worse product	eng-30-00430625-v	make thin or thinner	x				
bedachtzaamheid	r_n-6133	odwn-10-106673893-n	n	het bedachtzaam zijn;are thoughtfully	eng-30-06193203-n	a complex mental state involving beliefs and feelings and values and dispositions to act in certain ways	x				
bruiloft	r_n-8663	odwn-10-107611589-n	n	trouwfeest	eng-30-07447641-n	an occasion on which people can assemble for social interaction and entertainment	x				
beleidsvorming	r_n-6547	odwn-10-109951199-n	n	totstandkoming van beleid;establishing policy	eng-30-00250259-n	act of improving by expanding or enlarging or refining	the act of establishing policy				
groepsfoto	r_n-15814	odwn-10-100202434-n	n	foto v.e. groep;picture of a group	eng-30-03925226-n	a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material	a picture of a group				
asterisk	r_n-4069	odwn-10-104038865-n	n	teken in de vorm v.e. ster;sign in the shape of a star	eng-30-06706676-n	an award for winning a championship or commemorating some other event	x				
juffertje	r_n-18623	odwn-10-108922006-n	n	kleine libel;small dragonfly	eng-30-02159955-n	small air-breathing arthropod	x				
pakje	r_n-27377	odwn-10-103545966-n	n	cadeautje	eng-30-13268842-n	something presented as a gift	x				
lettertang	r_n-21901	odwn-10-109466739-n	n	stansapparaatje voor letters in tape;standard device for letters in tape	eng-30-03183080-n	an instrumentality invented for a particular purpose	x				
kolonist	r_n-20173	odwn-10-103234695-n	n	iemand die naar een kolonie gaat;someone who goes to a colony	eng-30-09620078-n	a person who inhabits a particular place	x				
erelijst	r_n-12545	odwn-10-105553535-n	n	lijst met verdiensten;list with earnings	eng-30-06481320-n	a database containing an ordered array of items (names or topics)	x				
putten	r_v-6513	odwn-10-103716289-v	v	scheppen;create	eng-30-01164273-v	draw from; make good use of	x				
kernstop	r_n-19382	odwn-10-103851998-n	n	stop op kernwapens en kernproeven;to stop nuclear weapons and nuclear tests	eng-30-00808767-n	fixing (of prices or wages etc) at a particular level	x				
debuut	r_n-10478	odwn-10-101096005-n	n	datgene waarmee men debuteert;that with which one debuts	eng-30-04599396-n	a product produced or accomplished through the effort or activity or agency of a person or thing	x				
toetreding	r_n-37916_sub_1	odwn-10-107101300-n	n		eng-30-00316989-n	shifting from one form of transportation to another	x				
sauna	r_n-32590	odwn-10-106863382-n	n	badhuis voor stoombaden;for steam baths	eng-30-02913152-n	a structure that has a roof and walls and stands more or less permanently in one place	x				
waakzaamheid	r_n-42100	odwn-10-107614140-n	n	oplettendheid, alertheid;attentiveness , alertness	eng-30-04865502-n	great and constant diligence and attention	x				
doorzagen	r_v-2477	odwn-10-103614745-v	v	verder zagen;saw further	eng-30-01559590-v	cut with a saw	the activity to keep on sawing				
pakket	r_n-27383	odwn-10-107938673-n	n	geheel van bijeenhorende zaken;whole meeting heard affairs	eng-30-07959943-n	a grouping of a number of similar things	x				
waken	r_v-9901	odwn-10-105006896-v	v	toezien op;monitor	eng-30-02167435-v	keep under careful scrutiny	x				
wegslaan	r_v-10033	odwn-10-103996273-v	v	weggerukt worden;snatched	eng-30-01564144-v	destroy completely; damage irreparably	x				
waterhuishouding	r_n-42448	odwn-10-109575341-n	n	regeling van watergebruik;regulation of water use	eng-30-01158690-n	the imposition of standards or regulations	x				
guerrilla	r_n-15997	odwn-10-104102024-n	n	ongeregelde strijd;irregular battle	eng-30-00958896-n	an open clash between two opposing groups (or individuals)	x				
terras	r_n-37421	odwn-10-102980580-n	n	horizontale laag tegen een helling aan;horizontal layer at a slope	eng-30-09393605-n	extensive tract of level open land	x				
beginnen	r_v-1150	odwn-10-104326650-v	v	iets gaan doen;do something	eng-30-00345761-v	take the first step or steps in carrying out an action	x				
kwartier	r_n-21103	odwn-10-102759264-n	n	schijngestalte v.d. maan	eng-30-04673965-n	outward or visible aspect of a person or thing	x				
dekschaal	r_n-10609	odwn-10-106641999-n	n	schaal met deksel;bowl with lid	eng-30-00002684-n	a tangible and visible entity; an entity that can cast a shadow	x				
begroeiing	r_n-6332	odwn-10-102652817-n	n	het begroeien;to overgrow	eng-30-03122748-n	an artifact that covers something else (usually to protect or shelter or conceal it)	x				
inademen	r_v-3328	odwn-10-105205676-v	v	de adem inhalen;catch breath	eng-30-01854888-v	draw something in by or as if by a vacuum	x				
pisang	r_n-28619	odwn-10-108366297-n	n	banaan;banana	eng-30-07705931-n	edible reproductive body of a seed plant especially one having sweet flesh	x				
potverteren	r_v-6407	odwn-10-100291645-v	v	geld opmaken;draw money	eng-30-02280869-v	deplete	x				
steek	r_n-35638	odwn-10-104379081-n	n	met een naald door stof gehaalde draad;with a needle through fabric extracted wire	eng-30-03829563-n;eng-30-01173965-n	a loop formed in a cord or rope by means of a slipknot; it binds tighter as the cord or rope is pulled	x				
ridder	r_n-31593	odwn-10-107924220-n	n	man uit de ridderstand;man of the equestrian order	eng-30-09939313-n	someone who fights (or is fighting)	x				
opdraven	r_v-5467	odwn-10-100848581-v	v	verschijnen;will appear	eng-30-00422090-v	come into sight or view	x				
postmodernisme	r_n-29350	odwn-10-101177442-n	n	bepaalde cultuurstroming;certain cultural movement	eng-30-05945642-n	a personal belief or judgment that is not founded on proof or certainty	x				
ombrengen	r_v-5004	odwn-10-106511639-v	v	doden;kill	eng-30-01323958-v	cause to die; put to death, usually intentionally or knowingly	x				
bezinnen	r_v-1578	odwn-10-100474004-v	v	denken over;think about	eng-30-02166460-v	give careful consideration to					
ledenwerving	r_n-21549	odwn-10-106123993-n	n	het werven van nieuwe leden	eng-30-07245885-n	persuasion of voters in a political campaign					
samensmelten	r_v-6921	odwn-10-102384066-v	v	door smelting verenigen;melt-unite	eng-30-00395841-v	lose its distinct outline or shape; blend gradually					
grindweg	r_n-15761	odwn-10-103014331-n	n	weg bedekt met grind;road covered with gravel	eng-30-04096066-n	an open way (generally public) for travel or transportation					
onthulling	r_n-26184	odwn-10-105041282-n	n	plechtige bekendmaking;solemn announcement	eng-30-00030358-n	something that people do or cause to happen					
granaat	r_n-15629	odwn-10-104544645-n	n	bepaalde plantensoort;particular plant species	eng-30-13112664-n	a low woody perennial plant usually having several major stems					
strikvraag	r_n-36288	odwn-10-100902580-n	n	opzettelijk lastige vraag;deliberately awkward question	eng-30-07193184-n	a request for information					
